age,experience_years,daily_work_hours,sleep_hours,caffeine_intake,bugs_per_day,commits_per_day,meetings_per_day,screen_time,exercise_hours,stress_level,burnout_level,work_sleep_ratio,active_hours,bug_commit_ratio,burnout_encoded
26,12,10.33,4.45,2,11,4,1,15.07,0.14,55.96,Medium,2.2703,10.47,2.6829,2
39,10,8.62,5.77,5,15,11,5,13.25,0.54,82.22,High,1.4685,9.16,1.3514,0
34,13,8.98,4.03,5,2,18,9,11.18,1.54,61.77,Medium,2.1743,10.52,0.1105,2
30,1,6.85,6.47,2,15,26,1,11.14,0.96,54.98,Medium,1.0426,7.81,0.5747,2
27,7,4.24,5.8,4,9,17,7,8.05,0.36,27.9,Low,0.7186,4.6,0.5263,1
40,2,10.25,6.78,0,19,27,4,15.15,0.78,51.06,Medium,1.4898,11.03,0.7011,2
26,10,6.53,7.6,6,4,11,9,9.38,0.54,39.09,Medium,0.8481,7.07,0.3604,2
38,0,10.69,5.25,5,12,2,2,14.58,0.1,77.68,High,1.9981,10.79,5.7143,0
42,18,11.47,4.79,4,11,25,1,14.54,1.53,73.56,High,2.3456,13.0,0.4382,0
30,17,13.16,5.39,3,0,3,3,14.44,0.58,46.78,Medium,2.3971,13.74,0.0,2
30,16,13.58,4.01,2,19,14,7,14.77,1.89,100.0,High,3.3041,15.47,1.3475,0
43,19,4.11,4.6,5,10,14,0,5.6,1.78,26.76,Low,0.8745,5.89,0.7092,1
32,12,13.9,7.75,6,18,10,9,16.08,1.43,100.0,High,1.7707,15.33,1.7822,0
23,2,10.83,5.11,0,14,1,2,12.87,0.65,81.94,High,2.0787,11.48,12.7273,0
27,0,10.44,8.97,2,17,17,0,14.35,0.56,48.65,Medium,1.151,11.0,0.9942,2
43,3,4.15,4.84,7,15,2,1,8.01,0.95,34.26,Low,0.8401,5.1,7.1429,1
22,12,12.61,7.94,5,6,17,9,17.5,0.71,77.5,High,1.5684,13.32,0.3509,0
41,16,5.45,7.53,3,9,13,6,7.69,1.8,28.51,Low,0.7143,7.25,0.687,1
40,10,12.37,5.61,4,15,5,0,17.12,0.25,85.2,High,2.1664,12.62,2.9412,0
21,1,4.16,5.65,2,16,1,8,7.61,1.45,51.03,Medium,0.7235,5.61,14.5455,2
43,15,10.46,6.82,5,6,0,7,13.44,1.22,64.45,Medium,1.5116,11.68,60.0,2
31,1,8.35,8.26,1,10,7,0,12.02,1.61,19.79,Low,0.9988,9.96,1.4085,1
25,18,6.01,5.93,0,16,9,9,9.82,1.08,37.07,Medium,0.9967,7.09,1.7582,2
21,18,5.08,4.31,4,4,19,0,6.77,1.26,19.68,Low,1.1519,6.34,0.2094,1
40,15,8.4,5.87,2,0,17,1,12.41,1.93,27.68,Low,1.407,10.33,0.0,1
20,18,5.23,5.04,5,2,19,1,9.13,0.18,27.93,Low,1.0175,5.41,0.1047,1
31,8,8.86,8.7,4,15,10,5,13.85,0.21,46.3,Medium,1.0068,9.07,1.4851,2
41,0,10.25,7.49,1,14,17,0,14.9,0.79,43.95,Medium,1.3505,11.04,0.8187,2
31,9,12.27,4.25,2,3,26,3,16.01,0.95,56.11,Medium,2.8207,13.22,0.1149,2
44,18,10.79,5.46,7,11,15,6,14.64,0.4,89.65,High,1.9406,11.19,0.7285,0
36,0,4.65,4.25,4,0,4,8,9.43,0.17,38.84,Medium,1.069,4.82,0.0,2
29,1,7.07,8.15,2,16,6,9,11.94,0.04,35.43,Medium,0.857,7.11,2.623,2
35,15,6.88,8.53,7,14,14,2,11.19,1.53,30.34,Low,0.7972,8.41,0.9929,1
34,11,13.15,4.56,2,19,1,3,17.22,0.97,90.03,High,2.8219,14.12,17.2727,0
34,7,12.68,6.2,4,19,10,4,14.13,1.69,81.65,High,2.0127,14.37,1.8812,0
38,17,7.7,8.66,2,9,12,4,12.02,0.72,53.745000000000005,Low,0.879,8.42,0.7438,1
31,1,4.71,4.73,1,10,19,1,6.72,1.41,17.83,Low,0.9752,6.12,0.5236,1
32,12,12.94,5.46,4,17,23,4,16.2,0.98,89.57,High,2.3273,13.92,0.7359,0
39,5,12.88,5.52,5,1,27,9,15.5,1.22,83.11,High,2.2918,14.1,0.0369,0
44,5,12.55,4.15,6,5,15,0,14.93,0.74,76.09,High,2.9529,13.29,0.3311,0
22,8,12.45,4.18,4,15,29,6,14.69,0.16,99.13,High,2.9089,12.61,0.5155,0
24,15,8.8,8.76,1,6,13,4,13.22,1.89,31.36,Low,0.9932,10.69,0.458,1
32,10,5.77,6.86,1,18,6,5,9.85,1.67,50.25,Medium,0.829,7.44,2.9508,2
26,6,8.77,5.53,1,11,6,8,11.86,0.62,80.33,High,1.5577,9.39,1.8033,0
40,9,8.95,5.89,7,17,11,2,12.61,1.92,72.3,High,1.4942,10.87,1.5315,0
28,9,8.9,7.57,5,9,11,0,12.01,0.6,59.88,Medium,1.1604,9.5,0.8108,2
26,19,9.39,5.83,5,6,19,7,11.98,0.89,69.16,Medium,1.5835,10.28,0.3141,2
37,10,6.58,5.14,6,3,0,1,9.78,1.51,9.61,Low,1.2557,8.09,30.0,1
44,8,8.34,7.64,2,16,5,9,13.08,0.65,80.09,High,1.0775,8.99,3.1373,0
33,14,5.31,4.9,2,3,7,3,7.72,0.82,30.84,Low,1.062,6.13,0.4225,1
37,3,8.55,4.35,3,4,26,4,13.5,0.94,33.53,Low,1.9213,9.49,0.1533,1
28,7,12.1,6.13,6,0,12,0,14.32,0.25,57.67,Medium,1.9422,12.35,0.0,2
40,8,12.28,4.2,6,18,14,2,13.72,0.03,100.0,High,2.8558,12.31,1.2766,0
39,8,9.19,7.14,1,0,9,5,11.89,0.71,37.93,Medium,1.2693,9.9,0.0,2
34,10,4.34,4.76,3,7,26,2,7.94,0.2,30.59,Low,0.893,4.54,0.2682,1
26,16,10.74,4.86,6,3,13,6,13.81,1.52,62.75,Medium,2.1653,12.26,0.229,2
31,15,8.05,6.85,1,9,23,5,10.56,0.59,54.06,Medium,1.1583,8.64,0.3896,2
27,14,8.45,5.78,0,16,8,4,11.7,1.02,42.29,Medium,1.4371,9.47,1.9753,2
34,2,12.74,7.87,7,17,16,7,17.1,1.93,90.88,High,1.5985,14.67,1.0559,0
22,19,8.62,6.73,6,2,2,7,12.98,1.84,51.74,Medium,1.2621,10.46,0.9524,2
33,4,4.21,6.17,5,17,11,2,8.11,0.21,37.08,Medium,0.6715,4.42,1.5315,2
36,4,6.27,8.81,4,6,11,7,11.08,1.8,27.54,Low,0.7037,8.07,0.5405,1
32,19,8.76,5.95,0,16,10,9,12.12,1.78,65.02,Medium,1.4479,10.54,1.5842,2
37,14,8.24,6.0,5,17,21,8,9.27,1.27,74.56,High,1.3508,9.51,0.8057,0
27,17,12.6,7.33,5,19,28,9,14.76,1.06,85.01,High,1.6958,13.66,0.6762,0
23,14,9.42,8.05,7,7,3,2,11.73,0.43,53.35,Medium,1.1558,9.85,2.2581,2
21,1,10.9,7.13,1,10,7,7,14.09,0.24,67.97,Medium,1.5076,11.14,1.4085,2
25,12,8.69,7.49,2,2,9,7,13.31,1.21,28.27,Low,1.1449,9.9,0.2198,1
41,3,8.4,5.86,4,6,13,6,12.75,1.64,60.33,Medium,1.4094,10.04,0.458,2
29,9,8.46,6.4,2,14,29,7,10.39,1.38,71.37,High,1.3015,9.84,0.4811,0
23,12,8.11,4.99,2,9,0,0,11.19,0.36,40.12,Medium,1.5933,8.47,90.0,2
41,9,9.39,7.4,6,11,11,2,13.03,0.58,66.95,Medium,1.252,9.97,0.991,2
37,8,6.5,5.11,4,11,4,5,11.45,1.09,67.44,Medium,1.2476,7.59,2.6829,2
31,7,12.91,4.01,4,18,13,6,14.04,1.25,94.85,High,3.1411,14.16,1.374,0
21,2,7.33,8.67,0,18,3,6,10.19,0.14,44.12,Medium,0.8358,7.47,5.8065,2
29,15,5.48,5.53,1,14,27,5,10.43,1.23,21.81,Low,0.9734,6.71,0.5166,1
23,13,4.97,4.98,2,4,16,3,9.88,1.47,11.49,Low,0.9783,6.44,0.2484,1
33,8,4.13,5.34,7,12,25,4,6.45,0.36,43.62,Medium,0.7592,4.49,0.4781,2
35,10,8.23,5.65,1,8,21,8,9.23,0.49,41.79,Medium,1.4313,8.72,0.3791,2
34,2,5.88,6.37,1,9,25,0,9.23,0.52,12.94,Low,0.9088,6.4,0.3586,1
27,4,4.22,4.35,7,7,12,1,8.69,1.88,32.7,Low,0.9483,6.1,0.5785,1
33,9,9.2,4.26,6,8,2,4,11.5,0.81,67.55,Medium,2.1101,10.01,3.8095,2
32,12,10.8,5.46,3,5,10,4,15.54,1.06,47.26,Medium,1.9424,11.86,0.495,2
44,3,4.86,5.48,0,17,10,6,7.19,1.45,59.52,Medium,0.871,6.31,1.6832,2
27,12,8.61,4.59,2,9,4,7,12.05,0.74,50.52,Medium,1.8358,9.35,2.1951,2
40,11,11.44,6.02,5,14,5,9,15.33,0.21,100.0,High,1.8693,11.65,2.7451,0
35,4,13.86,5.42,4,12,3,5,16.24,1.31,85.75,High,2.5109,15.17,3.871,0
32,9,10.67,4.13,4,10,9,5,13.08,1.33,74.13,High,2.5225,12.0,1.0989,0
37,8,6.45,8.43,1,1,9,4,9.33,0.52,14.94,Low,0.7562,6.97,0.1099,1
34,19,11.17,8.43,7,7,11,4,15.51,0.07,73.75,High,1.3095,11.24,0.6306,0
40,6,9.98,5.05,0,17,21,7,11.38,1.33,85.14,High,1.9379,11.31,0.8057,0
43,1,6.12,4.81,0,2,22,4,9.65,1.41,31.25,Low,1.2464,7.53,0.0905,1
44,6,12.51,6.74,2,2,17,5,16.22,0.05,48.16,Medium,1.8289,12.56,0.117,2
32,7,8.27,7.15,2,6,29,2,11.5,1.39,24.92,Low,1.1407,9.66,0.2062,1
34,13,11.23,5.89,1,8,22,8,14.64,0.36,59.72,Medium,1.8748,11.59,0.362,2
